iter	RMSE
0	200906.5059
1	199299.4851
2	197759.3565
3	196221.8119
4	194724.5288
5	193391.4143
6	191888.218
7	190518.4471
8	188911.0459
9	187475.7485
10	186021.5635
11	184618.4975
12	183120.2086
13	181753.0995
14	180390.5082
15	179076.0975
16	177668.8453
17	176421.4802
18	175255.5285
19	174012.2002
20	172815.5447
21	171605.5342
22	170564.379
23	169463.5708
24	168197.947
25	166998.6784
26	166037.3113
27	164963.7591
28	163818.2665
29	162818.2613
30	161696.8422
31	160665.0498
32	159636.2523
33	158649.6954
34	157694.8957
35	156667.6944
36	155668.8988
37	154693.5031
38	153737.4391
39	152822.0261
40	151923.3016
41	151041.8069
42	150085.2022
43	149157.7383
44	148344.3534
45	147553.2971
46	146695.7506
47	145818.841
48	144982.6969
49	144236.2993
50	143406.8196
51	142558.6119
52	141805.9445
53	141150.2332
54	140387.2385
55	139551.531
56	138830.3548
57	138145.0813
58	137477.3688
59	136796.9342
60	136120.3455
61	135607.2689
62	134920.3683
63	134239.6186
64	133637.5074
65	133002.533
66	132361.5406
67	131839.1877
68	131276.1683
69	130626.6093
70	130061.9717
71	129469.1364
72	128920.9867
73	128475.8861
74	127992.061
75	127471.1215
76	126969.2015
77	126398.2401
78	125883.783
79	125412.0677
80	124958.5483
81	124532.9816
82	124104.1175
83	123624.5179
84	123178.6178
85	122741.8549
86	122397.3164
87	121956.8918
88	121562.7782
89	121181.1021
90	120790.7743
91	120377.1349
92	119958.1839
93	119590.4024
94	119200.4584
95	118848.0789
96	118479.5232
97	118097.1839
98	117720.5549
99	117351.5214
100	117067.3463
101	116709.1795
102	116431.2402
103	116076.8788
104	115745.0282
105	115407.9912
106	115120.1841
107	114834.7502
108	114525.159
109	114196.6701
110	113879.2652
111	113621.8146
112	113329.6425
113	113035.8218
114	112741.6513
115	112442.097
116	112185.4336
117	111982.0565
118	111707.2321
119	111431.7197
120	111165.8018
121	110888.9422
122	110625.333
123	110415.8155
124	110158.6496
125	109946.0324
126	109748.5312
127	109504.841
128	109292.9314
129	109025.3266
130	108804.5103
131	108626.9746
132	108477.2267
133	108266.8883
134	108078.53
135	107907.7575
136	107709.8209
137	107502.2515
138	107288.6138
139	107079.6467
140	106887.662
141	106729.7761
142	106558.5563
143	106393.2592
144	106216.6768
145	106034.4936
146	105849.5872
147	105643.7201
148	105476.2508
149	105321.3544
150	105166.5668
151	104997.1064
152	104836.6384
