iter	Passed	Remaining
0	18	110670
1	38	114303
2	58	116212
3	78	117270
4	98	117940
5	118	118578
6	137	117983
7	157	118070
8	177	118246
9	198	118879
10	220	119800
11	239	119685
12	261	120484
13	283	121036
14	303	121150
15	324	121534
16	344	121332
17	365	121439
18	385	121414
19	407	121764
20	427	121688
21	447	121576
22	467	121539
23	488	121594
24	508	121436
25	528	121399
26	542	120055
27	562	120045
28	583	120058
29	605	120537
30	626	120718
31	647	120735
32	668	120791
33	687	120707
34	709	120866
35	729	120819
36	749	120712
37	768	120633
38	788	120573
39	808	120514
40	829	120622
41	849	120553
42	869	120516
43	889	120450
44	909	120419
45	924	119669
46	943	119538
47	964	119562
48	984	119532
49	1003	119456
50	1024	119506
51	1044	119505
52	1065	119609
53	1085	119561
54	1105	119497
55	1126	119536
56	1147	119618
57	1167	119637
58	1187	119592
59	1208	119675
60	1228	119641
61	1249	119629
62	1271	119822
63	1292	119889
64	1312	119848
65	1333	119852
66	1350	119602
67	1370	119525
68	1389	119462
69	1410	119462
70	1429	119406
71	1452	119560
72	1472	119541
73	1493	119625
74	1514	119628
75	1533	119548
76	1553	119526
77	1574	119545
78	1594	119535
79	1615	119563
80	1636	119587
81	1656	119553
82	1676	119507
83	1697	119545
84	1717	119536
85	1737	119511
86	1757	119463
87	1777	119404
88	1797	119365
89	1811	118975
90	1831	118908
91	1851	118872
92	1871	118860
93	1904	119631
94	1925	119674
95	1946	119732
96	1967	119708
97	1987	119683
98	2006	119615
99	2027	119612
100	2049	119723
101	2069	119680
102	2090	119659
103	2111	119727
104	2132	119736
105	2154	119783
106	2174	119783
107	2194	119739
108	2215	119742
109	2236	119763
110	2257	119751
111	2278	119798
112	2298	119770
113	2319	119736
114	2338	119685
115	2359	119679
116	2373	119329
117	2393	119318
118	2410	119132
119	2431	119135
120	2451	119131
121	2472	119109
122	2493	119117
123	2512	119069
124	2544	119608
125	2559	119298
126	2578	119235
127	2600	119275
128	2620	119269
129	2640	119241
130	2660	119190
131	2679	119126
132	2696	118949
133	2718	119006
134	2738	118989
135	2758	118956
136	2778	118902
137	2798	118868
138	2818	118858
139	2838	118812
140	2858	118765
141	2878	118742
142	2898	118714
143	2918	118699
144	2938	118665
145	2958	118635
146	2978	118607
147	2998	118572
148	3018	118534
149	3042	118649
150	3062	118621
151	3082	118595
152	3103	118606
153	3123	118581
154	3144	118576
155	3166	118612
156	3186	118572
157	3208	118643
158	3228	118615
159	3248	118580
160	3257	118155
161	3279	118182
162	3299	118155
163	3319	118126
164	3340	118126
165	3360	118098
166	3380	118077
167	3400	118037
168	3420	118013
169	3440	117986
170	3460	117970
171	3481	117966
172	3502	117961
173	3522	117926
174	3541	117880
175	3561	117849
176	3581	117814
177	3601	117800
178	3622	117793
179	3642	117758
180	3661	117728
181	3682	117704
182	3702	117705
183	3723	117707
184	3743	117673
185	3763	117654
186	3772	117279
187	3792	117238
188	3812	117218
189	3833	117227
190	3853	117204
191	3873	117175
192	3893	117152
193	3913	117134
194	3933	117107
195	3953	117073
196	3974	117077
197	3983	116734
198	4002	116689
199	4023	116688
200	4044	116696
201	4065	116687
202	4085	116679
203	4105	116658
204	4125	116629
205	4155	116872
206	4176	116874
207	4197	116877
208	4218	116899
209	4239	116876
210	4261	116906
211	4281	116883
212	4292	116619
213	4311	116564
214	4331	116548
215	4355	116619
216	4375	116607
217	4395	116577
218	4415	116553
219	4435	116532
220	4455	116504
221	4476	116507
222	4497	116502
223	4506	116195
224	4525	116159
225	4545	116132
226	4566	116130
227	4588	116152
228	4609	116174
229	4624	116012
230	4645	116012
231	4666	116006
232	4686	116006
233	4697	115741
234	4713	115636
235	4733	115611
236	4753	115598
237	4774	115580
238	4794	115570
239	4803	115286
240	4822	115244
241	4844	115258
242	4864	115238
243	4878	115089
244	4898	115063
245	4917	115028
246	4938	115017
247	4959	115038
248	4979	115006
249	4998	114976
250	5019	114964
251	5041	114992
252	5061	114980
253	5081	114945
254	5100	114918
255	5111	114692
256	5122	114462
257	5142	114460
258	5160	114379
259	5171	114171
260	5192	114180
261	5206	114031
262	5214	113755
263	5233	113712
264	5254	113711
265	5274	113703
266	5294	113688
267	5314	113670
268	5335	113666
269	5354	113644
270	5375	113634
271	5395	113622
272	5415	113610
273	5436	113607
274	5456	113598
275	5462	113295
276	5482	113281
277	5503	113274
278	5523	113257
279	5543	113243
280	5563	113234
281	5577	113085
282	5597	113085
283	5618	113075
284	5639	113078
285	5658	113060
286	5679	113047
287	5685	112759
288	5704	112733
289	5726	112749
290	5746	112739
291	5766	112715
292	5782	112633
293	5794	112454
294	5813	112423
295	5834	112434
296	5846	112256
297	5865	112226
298	5885	112219
299	5905	112204
300	5926	112214
301	5947	112208
302	5967	112201
303	5988	112201
304	6007	112176
305	6027	112158
306	6048	112158
307	6054	111892
308	6073	111855
309	6090	111792
310	6110	111783
311	6130	111766
312	6152	111778
313	6172	111765
314	6178	111504
315	6197	111475
316	6219	111507
317	6241	111518
318	6258	111463
319	6279	111462
320	6300	111469
321	6321	111476
322	6345	111529
323	6367	111545
324	6389	111562
325	6395	111315
326	6406	111151
327	6429	111176
328	6452	111226
329	6475	111262
330	6497	111275
331	6518	111279
332	6530	111134
333	6550	111124
334	6571	111131
335	6595	111178
336	6617	111199
337	6640	111232
338	6661	111233
339	6681	111232
340	6688	110995
341	6709	111006
342	6719	110820
343	6739	110814
344	6752	110675
345	6763	110528
346	6784	110523
347	6806	110543
348	6827	110556
349	6848	110561
350	6869	110562
351	6890	110562
352	6911	110567
353	6930	110528
354	6953	110562
355	6977	110618
356	6998	110621
357	7009	110475
358	7032	110496
359	7055	110530
360	7077	110553
361	7098	110553
362	7118	110541
363	7139	110543
364	7159	110537
365	7180	110533
366	7194	110433
367	7215	110421
368	7221	110195
369	7226	109963
370	7246	109942
371	7267	109951
372	7288	109951
373	7309	109950
374	7315	109731
375	7335	109715
376	7355	109711
377	7376	109710
378	7398	109721
379	7419	109723
380	7439	109716
381	7459	109705
382	7480	109703
383	7501	109713
384	7521	109700
385	7542	109695
386	7563	109696
387	7583	109686
388	7605	109701
389	7622	109653
390	7643	109643
391	7663	109629
392	7683	109625
393	7690	109425
394	7711	109422
395	7732	109422
396	7746	109323
397	7765	109304
398	7785	109292
399	7794	109122
400	7813	109101
401	7820	108900
402	7840	108887
403	7860	108875
404	7879	108859
405	7899	108841
406	7911	108721
407	7931	108711
408	7951	108701
409	7973	108705
410	7993	108695
411	8013	108687
412	8035	108704
413	8057	108712
414	8077	108705
415	8097	108688
416	8117	108686
417	8129	108558
418	8149	108555
419	8158	108397
420	8178	108374
421	8200	108394
422	8220	108384
423	8241	108380
424	8262	108383
425	8282	108371
426	8301	108353
427	8323	108362
428	8343	108350
429	8363	108338
430	8371	108166
431	8391	108156
432	8411	108145
433	8431	108132
434	8450	108112
435	8471	108107
436	8485	108018
437	8505	108003
438	8525	107997
439	8545	107986
440	8566	107982
441	8587	107988
442	8596	107835
443	8616	107825
444	8633	107773
445	8645	107656
446	8664	107643
447	8685	107636
448	8705	107622
449	8726	107622
450	8737	107503
451	8757	107486
452	8779	107508
453	8803	107545
454	8811	107380
455	8832	107384
456	8852	107373
457	8872	107366
458	8884	107258
459	8904	107237
460	8912	107088
461	8932	107075
462	8952	107061
463	8972	107048
464	8993	107046
465	9013	107035
466	9033	107026
467	9054	107025
468	9074	107015
469	9085	106904
470	9104	106880
471	9125	106873
472	9145	106863
473	9165	106852
474	9200	107015
475	9223	107042
476	9245	107049
477	9262	107006
478	9283	106999
479	9301	106966
480	9321	106958
481	9328	106792
482	9347	106774
483	9368	106765
484	9377	106632
485	9397	106623
486	9418	106616
487	9440	106625
488	9455	106566
489	9478	106584
490	9488	106462
491	9509	106457
492	9523	106382
493	9544	106379
494	9566	106396
495	9589	106415
496	9613	106446
497	9635	106458
498	9651	106397
499	9658	106240
500	9679	106241
501	9703	106276
502	9710	106125
503	9725	106059
504	9748	106074
505	9767	106053
506	9774	105897
507	9780	105735
508	9808	105811
509	9820	105710
510	9840	105704
511	9860	105696
512	9869	105566
513	9889	105548
514	9900	105443
515	9910	105331
516	9926	105276
517	9947	105269
518	9965	105238
519	9984	105225
520	10004	105214
521	10014	105092
522	10026	105004
523	10040	104922
524	10053	104842
525	10065	104754
526	10085	104735
527	10105	104725
528	10125	104718
529	10131	104565
530	10151	104551
531	10171	104548
532	10183	104448
533	10193	104340
534	10213	104327
535	10232	104314
536	10241	104187
537	10260	104171
538	10282	104179
539	10302	104166
540	10321	104151
541	10330	104030
542	10346	103975
543	10352	103825
544	10357	103670
545	10365	103539
546	10370	103386
547	10383	103305
548	10404	103309
549	10425	103303
550	10444	103293
551	10465	103285
552	10473	103165
553	10494	103160
554	10514	103160
555	10535	103154
556	10555	103148
557	10569	103081
558	10589	103070
559	10610	103070
560	10629	103059
561	10636	102918
562	10646	102818
563	10657	102717
564	10676	102704
565	10696	102698
566	10708	102606
567	10719	102513
568	10739	102504
569	10748	102390
570	10767	102375
571	10787	102365
572	10808	102370
573	10829	102368
574	10850	102369
575	10861	102279
576	10880	102262
577	10897	102222
578	10917	102216
579	10932	102163
580	10941	102050
581	10960	102035
582	10969	101923
583	10977	101803
584	10996	101784
585	11016	101776
586	11032	101737
587	11046	101670
588	11066	101664
589	11087	101663
590	11101	101600
591	11121	101595
592	11127	101462
593	11143	101414
594	11163	101408
595	11180	101376
596	11189	101265
597	11210	101267
598	11216	101137
599	11222	100998
600	11241	100983
601	11255	100921
602	11275	100915
603	11293	100893
604	11313	100882
605	11333	100878
606	11350	100844
607	11370	100834
608	11376	100707
609	11398	100714
610	11412	100660
611	11432	100649
612	11443	100566
613	11454	100475
614	11473	100465
615	11487	100404
616	11504	100374
617	11524	100366
618	11533	100263
619	11553	100251
620	11572	100235
621	11593	100242
622	11605	100165
623	11643	100315
624	11663	100306
625	11685	100312
626	11705	100310
627	11724	100289
628	11743	100281
629	11765	100289
